INFO 2024-12-24 14:42:59,817 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-24 14:42:59,818 autoreload Waiting for apps ready_event.
DEBUG 2024-12-24 14:43:00,267 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-24 14:43:00,268 autoreload Watching dir E:\price_patrol\price_tracker\locale with glob **/*.mo.
DEBUG 2024-12-24 14:43:00,269 autoreload Watching dir E:\price_patrol\price_tracker\tracker\locale with glob **/*.mo.
DEBUG 2024-12-24 14:43:00,344 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\migrations\operations\utils.py first seen with mtime 1734895446.3650877
DEBUG 2024-12-24 14:43:00,345 autoreload File E:\price_patrol\venv\Lib\site-packages\pymongo\auth_aws.py first seen with mtime 1734821621.7234871
DEBUG 2024-12-24 14:43:00,345 autoreload File C:\Users\vishn\anaconda3\Lib\hmac.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,346 autoreload File E:\price_patrol\venv\Lib\site-packages\attr\_next_gen.py first seen with mtime 1734847363.1824389
DEBUG 2024-12-24 14:43:00,346 autoreload File C:\Users\vishn\anaconda3\Lib\glob.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,346 autoreload File E:\price_patrol\venv\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1734895446.136081
DEBUG 2024-12-24 14:43:00,346 autoreload File E:\price_patrol\venv\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1734895446.3371553
DEBUG 2024-12-24 14:43:00,346 autoreload File E:\price_patrol\venv\Lib\site-packages\setuptools\config\__init__.py first seen with mtime 1734813769.5322084
DEBUG 2024-12-24 14:43:00,346 autoreload File E:\price_patrol\venv\Lib\site-packages\aiohttp\client_reqrep.py first seen with mtime 1734847365.1579227
DEBUG 2024-12-24 14:43:00,346 autoreload File E:\price_patrol\venv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1734895445.5871377
DEBUG 2024-12-24 14:43:00,346 autoreload File E:\price_patrol\venv\Lib\site-packages\djongo\models\__init__.py first seen with mtime 1734895452.3709397
DEBUG 2024-12-24 14:43:00,346 autoreload File E:\price_patrol\venv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1734895445.585998
DEBUG 2024-12-24 14:43:00,346 autoreload File E:\price_patrol\venv\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1734895445.67516
DEBUG 2024-12-24 14:43:00,347 autoreload File E:\price_patrol\venv\Lib\site-packages\charset_normalizer\models.py first seen with mtime 1734813898.1606915
DEBUG 2024-12-24 14:43:00,347 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1734895446.3660872
DEBUG 2024-12-24 14:43:00,347 autoreload File E:\price_patrol\venv\Lib\site-packages\dns\inet.py first seen with mtime 1734813897.3891735
DEBUG 2024-12-24 14:43:00,347 autoreload File C:\Users\vishn\anaconda3\Lib\fnmatch.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,347 autoreload File E:\price_patrol\venv\Lib\site-packages\django\utils\tree.py first seen with mtime 1734895446.4091885
DEBUG 2024-12-24 14:43:00,348 autoreload File C:\Users\vishn\anaconda3\Lib\unittest\main.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,348 autoreload File E:\price_patrol\venv\Lib\site-packages\aiofiles\threadpool\utils.py first seen with mtime 1734847363.4957838
DEBUG 2024-12-24 14:43:00,357 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\models\enums.py first seen with mtime 1734895446.3670883
DEBUG 2024-12-24 14:43:00,357 autoreload File E:\price_patrol\venv\Lib\site-packages\pymongo\bulk.py first seen with mtime 1734821621.7234871
DEBUG 2024-12-24 14:43:00,357 autoreload File E:\price_patrol\venv\Lib\site-packages\django\apps\config.py first seen with mtime 1734895445.5845213
DEBUG 2024-12-24 14:43:00,357 autoreload File E:\price_patrol\venv\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1734895446.3340824
DEBUG 2024-12-24 14:43:00,357 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1734895446.3670883
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\_distutils_hack\__init__.py first seen with mtime 1734813769.468854
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1734895446.3930905
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\multidict\_compat.py first seen with mtime 1734847362.8774579
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\aiohttp\client_ws.py first seen with mtime 1734847365.1579227
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1734895446.325158
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\aiohttp\compression_utils.py first seen with mtime 1734847365.1579227
DEBUG 2024-12-24 14:43:00,358 autoreload File C:\Users\vishn\anaconda3\Lib\collections\abc.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\aiohttp\_websocket\models.py first seen with mtime 1734847365.1709223
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\aiolimiter\leakybucket.py first seen with mtime 1734847363.4347875
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1734895445.674163
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\setuptools\_distutils\dir_util.py first seen with mtime 1734813769.5002081
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1734895446.3650877
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\pkg_resources\_vendor\packaging\utils.py first seen with mtime 1734813769.4780223
DEBUG 2024-12-24 14:43:00,358 autoreload File C:\Users\vishn\anaconda3\Lib\secrets.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\django\core\wsgi.py first seen with mtime 1734895446.3291838
DEBUG 2024-12-24 14:43:00,358 autoreload File C:\Users\vishn\anaconda3\DLLs\_socket.pyd first seen with mtime 1702663624.8604834
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\frozenlist\__init__.py first seen with mtime 1734847362.999439
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\dns\wire.py first seen with mtime 1734813897.3961735
DEBUG 2024-12-24 14:43:00,358 autoreload File C:\Users\vishn\anaconda3\Lib\unittest\case.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\bson\regex.py first seen with mtime 1734821621.7204878
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\aiohttp\_websocket\writer.py first seen with mtime 1734847365.172922
DEBUG 2024-12-24 14:43:00,358 autoreload File C:\Users\vishn\anaconda3\Lib\importlib\resources\_legacy.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\yarl\__init__.py first seen with mtime 1734847363.6219037
DEBUG 2024-12-24 14:43:00,358 autoreload File C:\Users\vishn\anaconda3\Lib\asyncio\streams.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,358 autoreload File C:\Users\vishn\anaconda3\Lib\bz2.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,358 autoreload File E:\price_patrol\venv\Lib\site-packages\djongo\features.py first seen with mtime 1734895452.3699403
